id,title,employer,salary,gender,years_exp,Location,duties,comments
404,senior online producer,NPR affiliate,"$80,000 ",cis white female,15,Los Angeles,"reporting and writing stories, overseeing a vertical on the radio station's site, assigning stories, editing stories, managing editorial calendar and budget, helping turn online stories to broadcast ones and broadcast stories into online stores, occasionally appearing on air, occasionally covering broadcast news.","writer, reporter, editor, online producer"
479,Producer/Editor,Red Bull Media House,"75,000",CIS White Female,10,Los Angeles,"Story production, interviewing, budgeting, identifying storylines, editing, etc","Culture Editor/65,000, Deputy Editor/36,000"
737,Senior Political Editor,,"$75,000 ",cis-het Black woman,6,Los Angeles,I do EVERYTHING,
317,Assistant editor,Los Angeles magazine,"37,000",White CIS woman,4,Los Angeles magazine,"I cover housing, homelessness, labor, public policy, and other topics for web",
756,Assistant editor,Los Angeles magazine,"37,000",White CIS woman,4,Los Angeles magazine,"I cover housing, homelessness, labor, public policy, and other topics for web",
107,Senior Producer,Comcast NBC Universal,"80,000",Male,8,"Los Angeles, CA","Produce television segments for live, daily TV show","Segment producer 70,000, Associate Producer 56,000"
754,Senior Producer,Comcast NBC Universal,"80,000",Male,8,"Los Angeles, CA","Produce television segments for live, daily TV show","Segment producer 70,000, Associate Producer 56,000"
296,Producer,KCRW,"$72,000 ",cis white female,7,"Los Angeles, CA","Produce and edit weekly interview style radio show and podcast. Book guests, run remote recordings, put together and edit show in ProTool, write web copy",Intern and then production assistant for Morning Edition at NPR West. Was making in the low-mid $50k's when I left in 2014.
444,Freelance Writer,Outside Magazine,50 cents a word,Caucasian,3,"Los Angeles, CA",,
555,Staff writer,The Advocate,"$50,000 ",cis white man,3,Louisiana,"Covering a beat, reporting, writing",
196,Wire/copy editor,Gannett,50000,Male,5,Louisville,"Copy edit wire stories, write headline and cutlines",
193,Reporter,Gannett,"$45,000 ",cis white female,7,Louisville,Enterprise/daily reporting,
517,Freelance Reporter,Self-employed,12000,Poc femme,2,Malaysia,"Producing videos, social media marketing, researching, writing long-form articles, editing",Communications Manager at an NGO ($9000)
636,Senior Editor,"Tiny media start-up, 2 employees","75,000",Cis woman / white,3,Manhattan,"Assigning, editing, and writing multiple stories a day, overseeing video and social","Associate editor (62K), Reporter (60K), Associate editor (50K)"
146,Assistant Editor,Del Val Media,"$26,000 ","Female, White",1,"Marlton, NJ","write blurbs and articles, research information, head of interns, assist all editors",Right out of college
22,Editor,APG Media of Chesapeake,"$45,000 ","Male, white, not Hispanic",10,Maryland’s Eastern Shore,"Managed reporters, assigned stories, edited stories and proofed pages",
91,Staff Photographer,CNHI Publishing Co.,"$32,500 ",cis white male,8 years,Massachusetts,"Capturing, Editing, Processing, Captioning, photos for daily newspaper. Occasionally creating galleries, and working on more long term projects.",
345,Reporter,Miami Herald,"$50,000 ",,2 years FT,Miami,"Covers statewide and national politics and policy, with a focus on cannabis and the 2020 election","2018: $39,000, 2017: $12/hour intern"
9,Reporter,Advance Local,"$37,500 ",Cis female / white,1,Michigan,"Beat reporting, writing",N/A
12,Reporter,Advance Local Media,"$49,000 ",Cis-het white female,15,Michigan,"Reporting, writing, editing own stories","Assistant editor at a regional magazine: $30,000
Web editor at a national magazine: $40,000"
171,Community reporter,Freelance,"$19,000/year (but wildly variable)",Female/white,29,Michigan,"Reporting, writing, photography, cross-platform media promotion","Editor of a weekly, reporter, layout/copy editor"
349,News Leader,MLive.com - Advanced Publications,67000,cis white male,9,Michigan,Overseeing the day-to-day operation of the newsroom.,"Reporter - $42,000; News Editor - $36,000"
544,Reporter,States Newsroom,"45,000",Cis white female,1,Michigan,"Research, reporting, writing, social media","$33,500 / Gannett / suburbs reporter"
547,Digital producer/assignment editor,Tegna,"$37,000 ",Cis white female,3,Michigan,"Overseeing all of the station's digital output, from writing 5-10 stories a day to editing reporters' stories, running multiple social media accounts for a combined audience of over 300,000, editing video for the website and just generally curating the website. I also run the assignment desk during the evenings, which includes assigning stories, finding stories, confirming breaking news and being the point of contact for people in the field and answering the tipline. We're a top 50 market.",
548,Digital producer/assignment editor,Tegna,"$37,000 ",Cis white female,3,Michigan,"Writing, editing, running multiple social media accounts, assignment editor",
402,Reporter,NPR affiliate,"$47,000 base, ~$55k with overtime",cis white man,4 years,Mid-Atlantic,"Cover daily news, report features, draft web copy, manage some special projects","$42k original offer, negotiated $45k, raise after ~1 year"
4,Senior reporter,ABC News,"$110,000 ","cis female, white",15,Midwest,primarily feature writing,"Freelance: Earned $50,000 the year I began and $100,000 my last year freelancing. 
Assistant Editor at an independent magazine: $30,000"
198,Reporter,Gannett,"$42,000 ",cisgay white male,15,Midwest,"I am the closest thing to an investigative reporter there is in this mid-sized city. Also business, culture, breaking, some local. Some video, TV appearances.","FT internships $300/week
National magazine staff writer/editor $26,200
Regional magazine editor in chief $24,000 progressively increased to $42,000
Freelance journalist / Great Recession odd jobs $25,000
Newspaper reporter $33,000 promoted to $42,000
After taxes and student loans, I take home about $18,000"
211,editor,Gatehouse,"$38,500 ",cis white male,21,Midwest,,
212,Copy Editor,GateHouse Media,"$45,000 ","Cis-gender, hetero, white",1,Midwest,"editing stories for print, planning sections, proofreading pages, occasional web producer work",first full-time job out of college
323,Anchor,Market 140ish,"40,000","Male, straight, white.",5,Midwest,,"MMJ, 28,000"
327,Reporter,McClatchy,62000,"Female, White",10,Midwest,,"$28,000-->$34,000-->$36,000-->$42,000-->$45,000-->$48,000-->$60,000"
413,Reporter,NPR Affiliate,"$50,000 ",Cis-Queer-White-Male,2,Midwest,"Cover daily news, report features, write web copy, shoot photos",NPR affiliate fellow: $25/hr (part-time)
403,Reporter,NPR Affiliate,"$52,000 ","White, non-binary",3,Midwest,"Reporting, data journalism, graphics visualization","hired at $48,000; $28,000 editorial assistant at different outlet"
405,Reporter,NPR Affiliate,"52,000","white, non-binary",3,Midwest,"Reporting, data journalism, data visualization","Hired at $48,000; previous job $28,000 editorial assistant"
415,Reporter,NPR affiliate,"44,000",White bi female,5,Midwest,Reporting daily and enterprising stories,
411,News editor,NPR affiliate,"$63,000 ",white cis woman,14,midwest,"coordinate and edit broadcast & print of several reporters, set coverage priorities, communicate with national shows, contribute reporting as necessary/possible","previous salaries ranged from $37,000 to nearly $80,000"
414,GA Reporter,NPR affiliate,"43,520","cis gender woman, black",,Midwest,pitch daily and enterprise stories for air/web,intern $12hr
159,Associate news producer,E.W. Scripps affiliate TV station,"$40,000 ",white female,0,Midwest,Produce morning newscasts,
653,Digital Producer (part time),Tribute affiliate station,11.70/hr,White female,0,Midwest,"Manage station social pages, write up reporter packages for website, manage website","n/a, this was an entry-level position"
314,social and online editing - union position,Lee Enterprises,"66,000",cis white woman,15,"midwest, urban, not chicago","website editing, story presentation, social media, some social reporting",
352,Associate Web Editor,MSP Communications,"$32,000 ",Cis white Female,6,Minneapolis,"-Assist or lead newsletter production (two newsletters a week, plus three more monthly) . -Write 2-4 web articles daily, 1-2 enterprise pieces weekly for the website - contribute stories for the monthly print magazine -occasionally assist in fact checking",Police and Towns reporter for a regional daily newspaper in Massachusetts
540,Team leader / editor,Star Tribune,"$80,000 ",cis hetero white woman,9,Minneapolis,graphics and data for print and online,68k-ish when I started here 5 years ago doing lots of digital production and social media
750,Team leader / editor,Star Tribune,"$80,000 ",cis hetero white woman,9,Minneapolis,graphics and data for print and online,68k-ish when I started here 5 years ago doing lots of digital production and social media
541,Digital editor,Star Tribune,"$89,000 ",White male,11,Minneapolis,,
539,Staff Photographer,Star Tribune,"70,000",,,Minneapolis,Photo and video,
516,freelance writer and content creator,self,This year: $40k comprising regular content contracts and freelance travel writing.,female / white,20,"Minneapolis, MN",Creating content for magazines & websites as well managing social media for a client and creating original content for their blog.,"Senior editor through executive editor at travel, home and parenting consumer magazines (salary from $52k - $76k)."
269,Assignment Editor,Hubbard,"40,000",White female,3,Minnesota,"Write web articles, post on social, assign PKGs & Vo/Sots for staff, line up interviews, write scripts",
312,Statehouse Reporter,Lee Enterprises,52000 (2015),white woman cis het,,Montana,Cover breaking news and write in-depth accountability projects about state government,
445,Photo Editor,OZY media,80k,CIS Female / Hispanic,3,Mountain View California,"Selecting stock images for general stories, hiring freelancers around the world, commissioning illustrations for conceptual stories, creating photo illustrations, data viz development, negotiating one off photo purchases, photographing in the field",Prior to that as an associate photo editor I made $20-25 an hr on contract for a Condé Nast Publication
446,Photo Editor,OZY media,80k,CIS Female / Hispanic,3,Mountain View California,"Selecting stock images for general stories, hiring freelancers around the world, commissioning illustrations for conceptual stories, creating photo illustrations, data viz development, negotiating one off photo purchases, photographing in the field",Prior to that as an associate photo editor I made $20-25 an hr on contract for a Condé Nast Publication
316,Reporter,Lee Enterprises,"$32,000 ",cis male/Native American and Caucasian,2.5,Mountain West,Beat reporting,"GA reporter at a Wisconsin Lee Enterprises paper for almost 2 years. Started at $27,000/year. Given a raise after about a year to $29,000/year before getting another raise to $31,000/year prior to leaving for my new position."
489,Reporter,Report for America,"$35,500 ",Female/White,4,Mountain West,Produce 3-4 local news stories a week.,45k--Producer at NPR affiliate
150,Editor in Chief,Digital First Media (DFM),"$375,000 ","Male, Caucasian",20,Multiple,,
759,Editor in Chief,Digital First Media (DFM),"$375,000 ","Male, Caucasian",20,Multiple,,
309,Copy Editor,Lee Enterprises,"$42,000 ",Cis-bi white male,2,"Munster, Indiana","Edit copy, write headlines, proof pages, manage social media","Reporter, $32,000"
39,Bureau Chief,Bloomberg News,"$130,000 ",Cis female POC,8,n/a info would reveal my identity,"Manage coverage, personnel","Editor $52,000"
495,Editor,Ringier Africa Digital Media,"$10,000 ","CIS male, African",5,Nairobi,"Reporting, Editing, Interviewing",
32,Reporter,BH Media Group,"$27,100 ",Cis female/white,1,NC,"reporting, writing, editing, photography",N/A
311,Business reporter,Lee Enterprises,"$54,000 ",white male,24,Nebraska,Mostly reporting,"Managing editor, $55,000; copy editor, $44,000"
368,Reporter/Producer,NET,"$38,500 ",cis white female,~3 years,Nebraska,"reporting, audio production, substitute radio hosting","$7.25/hr intern, NPR member station; $13/hr, intern, NPR HQ in DC"
262,Multimedia producer,higher ed,72000,male / latinx,17,New England,Produce video and photo for higher ed non profit,55000 / staff photographer / daily newspaper (large urban metro)
448,Reporter/editor,Patch,"50,000",Cis white male,15,New England,"Writing, reporting, photos, social media, projects","$25-32,000 as a reporter in the Northeast, Midwest"
639,Managing Editor and Writer,Too small to name w/o outing myself,"34,000",Cis woman,10,New Jersey,"Cover news and conduct interviews, create monthly newsletters, edit print magazines with EIC, write: features, case studies, etc","Editorial assistant, news reporter, freelance writer - prev salaries range from 24,000 as a reporter, 28,000 as an EA which got bumped to 32,000 and eventually a managing editor, varying freelance rates"
556,Reporter,The Advocate,"60,000",White cis woman,3,New Orleans,"Covering a specific beat, doing investigative work, writing daily stories.","Reporter, Advance Local: 43,000
Reporter, Lee Enterprises: 32,000"
49,Associate Producer,Business Insider,"$53,000 ",Asian American,2,New York,"Script writer, shooter, editor, animator, voice over artist","Associate Producer Year 1 - $50,700
Intern - $13/hour"
753,Associate Producer,Business Insider,"$53,000 ",Asian American,2,New York,"Script writer, shooter, editor, animator, voice over artist","Associate Producer Year 1 - $50,700
Intern - $13/hour"
54,Senior Editor,Bustle Digital Group,"$70,000 ",White cis female,4,New York,"Editing news and features, managing a small team, some writing","Full-time freelance writer at Hearst: $17/hour
Assistant editor at Hearst: $42k
Editor at Bustle Digital Group: $55k
Raise to $60k — no promotion
Promoted to Senior Editor at $63k
Asked for $75k when I found out colleagues were making that, given $70k"
61,Video Fellow,BuzzFeed,$18 /hr,Woman CIS,,New York,produce/edit/shoot a video a week,
72,Senior Reporter and Editor,BuzzFeed News,"$115,000 ",Male / Black,7,New York,MANY,
96,Writer,CNN,77500,cis white female,2,New York,"Break news, research, write stories","news assistant in hourly position in d.c.; content marketer (remote) $40,000"
95,Associate Writer,CNN,"65,000 plus overtime and bonus",WOC,9,New York,Reporting medium length stories,"News Writer at The Verge, $50,000 no overtime/raise freeze"
98,Producer,CNN,"115,000","Male, White",10,New York,"Produce, Shoot, Edit Digital Video",
102,Associate Producer,"CNN (Digital, non-video)","$62,400 ","Female, Hispanic",4,New York,"Editing text, liaison with video teams, writing",
132,Editorial Assistant,Condé Nast,Full time Freelance/$15 an hour,White Cis Female,2,New York,,
133,Audio Producer,Condé Nast,"62,000",cis white woman,5,New York,"Booking, recording, and editing one weekly podcast and two monthly podcasts.","Web Producer: 59,000"
138,Executive Assistant,Conde Nast,35K,cis-het black womxn,2.5,New York,"Manages the calendar of the EIC, arranges travel reservations (booking flights, cars, and hotels), answers phone, handles all incoming and outgoing mail, takes thorough notes and helps prepare EIC for meetings and events and podcasts, runs personal errands, arranges copying, faxing mail and a variety of other messenger services, maintains centralized contact lists, reports, records and spreadsheets, processes expense reports, reserves conference rooms, schedules staff-wide meetings, keeps office space tidy and organized, and coordinates catering services and team events, contributes editorially (building weekly newsletters and writing for the mag), manages relationships between staff members and external partners and industry influencers, advises and leads diversity and inclusion efforts at the brand, fosters productive working relationships with staff members and assists with various projects as necessary and a whole lot more.",
126,Assistant Editor,Conde Nast,"42,000 +OT",cis female POC,3,New York,,"editorial assistant at $35k for the same brand; raise one year after to $37,500"
121,Fact Checker,Conde Nast,"69,500",Cis-het black male,5,New York,Fact-checking articles and public-facing copy,
125,Digital Editor,Conde Nast,"77,500",cis white woman,6,New York,"editing, managing freelancers, some administrative duties, occasional writing","75k in this role before slight bump, before this freelance and around 65k, before that 45k as associate editor"
123,Reporter,Conde Nast,"100,000",Cis white female,8,New York,Reporting and writing stories,Previous reporting job 50k and then 55k. Started current job at 75k
116,Senior Visuals Editor,Conde Nast,"80,000","Male, White",14,New York,Researching and licensing images for multiple titles and projects. Liaising with photographers agents and studios. Understanding and making decisions regarding copyright. Managing monthly/project budgets. Misc. data admin and file management. Training and leading new members of the team.,71K - Senior Visuals Editor; 65K Visuals Editor
118,editorial director,conde nast,245k,female,18,new york,"directing editorial team of 4+ people to produce print and integrated products on behalf of in-house brands, as well as branded content",175k + guaranteed bonus for similar role at Time Inc.
127,Editor-at-large,Conde Nast,"$120,000 ",F/W,,New York,,
157,Senior editor,DotDash,82500,White cis male,4,New York,"Assign/edit special projects, write/edit/post articles, lead ideation for special projects and sales initiatives; managed 2 f/t staff",
156,Editorial Director,Dotdash,"$115,000 + 15% annual bonus",Female / White,7,New York,"Overseeing all editorial workflows, from assigning, recruiting writers, managing junior editors, etc.",
175,Associate social media editor,Futurism,"$50,000 ",cis white female,1,New York,"Managing social media accounts with millions of followers, distributing flow of daily articles and design content across platforms, copy editing blogs, optimizing seo and meta data, compiling and managing daily newsletter, assisting publisher and marketing department with sponsored campaigns, moderating audience across platforms, increasing audience engagement, data analytics & analysis, pitching & writing blogs, designing social visual assets, among other tasks.","~$10-15/hr at four to five other paid media internships in magazines, marketing, and book publishing."
185,senior reporter,G/O Media,"82,000",cis white woman,5,New York,write 5 articles a week/bimonthly reported features,
186,Senior Reporter,G/O Media,"$72,000 ",Cis male/ White,6,New York,,
179,Editor-in-chief,G/O Media,"$150,000 ",Cis het white male,14,New York,,
226,Producer,Group Nine Media,"75,000",Cis Black Male,7,New York,"Write, pre-produce, direct, shoot, edit",
225,Senior Producer,Group Nine Media,"83,000",cis white man,8,New York,,
227,Supervising Producer,Group Nine Media,"$77,000 ",Cis-het Black woman,8,New York,"Editorial lead of a social platform 
Manage 6 accounts
Used to manage multiple platforms when I first started (FB + TW + IG and multiple accounts at its height)
Wrote + delivered insight reports 
Schedule, publish, copyedit, assign edits for videos + stills
Covered protests + live events + breaking news
Wrote op-eds + produced pieces
Edited scripts once a week
Produce shoots in studio + field
Interviews + research
Showrunner of a social show with editorial sponsor","$24K 2012-2014 doing digital work at nonprofit/freelancing/interning 
$40K as headline writer for traditional newsroom
$55K starting as social media manager for startup media
$63-67K after getting a job offer elsewhere
$75-77K promoted to Producer/editorial lead for startup media"
244,Associate Producer,Hearst,"58,500",Female CIS,1.5,New York,"produce, edit, shoot",
248,Director (Major Section),Hearst,"$145,000 ",Cis Female/white,20,New York,Manage several editors; write and edit articles (20+ pages a month + 25+ digital stories/month); work on marketing programs & branded content for sales side,"Hearst senior editor $68K, Time inc. senior editor $75k - $90k, Rodale deputy editor $110k"
260,Associate Entertainment Editor,"Hearst, Cosmopolitan","$62,500 ",white cis female,3,New York,"Pitching and executing 1-3 digital entertainment stories every day, writing 2-3 entertainment stories for print monthly, interviewing celebrities, doing a weekly Instagram live show, pitching comprehensive coverage plans around certain shows and movies, executing SEO-oriented ideas","News Writer - $58,500, Editorial Assistant - $40,000 plus overtime"
271,Audience Editor,HuffPost,"65,000",Cis white woman,3,New York,"scheduling Facebook/Twitter/Instagram, working on SEO and headlines, looking at stats and setting goals with newsroom teams, covering live events on social like debates/awards shows, etc.",
274,Reporter,HuffPost,"$73,000 + ~$7,000 bonus",cis white female,6,New York,Reporting on daily news,
275,Senior Reporter,HuffPost,90000,cis hetero white male,20,New York,Feature story writer,
277,Associate Editor,HYPEBEAST,"45,000",african-american,3,New York,"writing, reporting, editing, processing images, pitching stories and original content, conducting interviews, etc.","Editorial Assistant, $48,000"
278,PRODUCER,HYPEBEAST,"70,000",BLACK,6,NEW YORK,"CREATIVE EXECUTION, TALENT NEGOTIATIONS, EVENT COORDINATION, MANAGE BUDGETS ETC","YOUTUBE STRATEGIST- COMPLEX
PRODUCTION COORDINATOR- TALKPOINT"
304,Staff Reporter,LAW.com,"56,000",cis-white male,4,New York,reporting on news (quick turn) and enterprise stories (lightly sourced 400 word posts up to in depth data and HUMINT reporting) in the legal industry,"$85,000 video producer/on camera for sports magazine and matching online site; breaking news reporter ($250/day) for NYC daily, breaking news videographer ($11/hour) for NYC TV station, online video producer ($52,000)"
332,Senior Writer,Medium,"$110,000 ",Cis WOC,7,New York,"Reporting, writing. Mix of quick turnaround stories and features.","Senior Writer, $65K
Writer, $51K
Junior Reporter, $35K
Intern, $10/hour"
343,Senior Video Producer,Meredith Corp,"93,000",white cis het male,9,New York,"Oversee digital video department. Ideate strategy, produce in the field and oversee post production. Pitch and execute videos. Act as camera operator, producer, writer and direct in the field. Edit videos and create graphics packages. Lead campaigns for editorial sponsorship opportunities and respond to RFPs from advertising agencies.","Producer - 76k/year, Freelance video editor for TV at 500/day. Permalance Assistant editor at 67,600/year."
344,Ecommerce Writer,Meredith Corporation,"$58,500 ","Female, white",4,New York,,
359,Associate Producer,NBC News,80000,white woman,4,New York,everything under the sun for audio production,
360,Reporter,NBC News,120000,Cis WOC,8,New York,"enterprise, investigative reporting, some breaking news/daily news","72k (reporter), 26k (reporter), 8k (Freelance reporter - I had other part time jobs to supplement)"
357,Senior Writer,NBC News,"$180,000 ",White female,40,New York,Doing it all - solo specialist writer also editing and reporting for a digital news vertical and for TV,"Previous salary as an editor at a magazine @ $120,000"
372,Vertical Managing Editor,New York Magazine,"65,000",Cis Female / White,4,New York,,
371,Deputy editorial director,New York Magazine,"$150,000 ",F/W,,New York,,
375,Reporter,New York Post,"70,000 plus OT",White Latina,6,New York,,
379,Staff Report,New York Times,120000,Straight White Male,3,New York,Reporting on my beat,
380,Staff Editor,New York Times,"$103,000 ",cis-female/black,3,New York,"assign, edit and (sometimes) write articles","fact checker, 68,000/ fact checker, 30,000 / intern, min wage"
381,Deputy Editor (Department),New York Times,130000,cis-male-white,18,New York,Coordinate content among departments,
376,Senior editor,New York Times,"$195,000 (plus bonus, usually $40,000)",M/White,40,New York,"editing, supervising staff of 18",LOL
396,Associate Producer,NowThis,"57,500",,2,New York,"editing social video, producing/shooting original content, writing scripts",
399,Assoc. editor,NPR,"$82,000 ","Male, white, straight",9,New York,"Editing, commissioning, producing","Editor, writer"
424,Deputy Editor,NYC Local News,"$160,000 ",Black man,20,New York,"Edit stories, assign stories, managerial and personnel duties","$150,000 as senior editor on major national news network digital team"
433,Editorial Assistant,NYT,"68,000",Cis white female,2,New York,"fact checking, schedule maintaining, administrative duties","Assistant editor of a regional magazine, 28,000"
434,Producer,NYT,"76,000",Cis white female,5,New York,Podcast production,"Editorial assistant, 66,0000"
437,Video Producer,NYT,"83,000",cis PoC Woman,7,New York,"Pitching, researching, reporting video news stories. Editing video and occasional filming.","45,000 Producer & On-Camera Reporter salary; 55,000 Producer & On-Camera Reporter"
436,Metro reporter,NYT,"120,000","Female, white",8,New York,General Assignment & Investigations,"Trainee reporter (8i or ""fellow"") $75,000 [set rate] junior reporter: $95,000, metro reporter $105,000"
460,Reporter,POLITICO,73000,Cis white female,3,New York,Writing daily stories and working on a daily newsletter,"43000, associate editor at SourceMedia"
463,Assistant editor,Popular Science,"$48,000 ",cis white female,7,New York,"write multiple stories a week for the website, edit multiple web freelance stories a week, manage a section of the print magazine (pitch, assign, and edit pieces, coordinate with art, etc.), write for each section of the print magazine, contribute to a weekly podcast, appear on 3rd party media as needed","promoted from editorial assistant, which had a salary of $40,000"
475,Reporter,Quartz,"$62,000 ",cis white male,5,New York,"Reporting, writing",
477,Deputy news editor,Quartz,"$90,000 ",male,15,new york,"supervise 5 reporters, edit copy",
483,Staff writer,Refinery29,"$63,000 ","Cis, white",5,New York,Write and pitch mostly search-driven stories,"$52,000 - news writer"
484,Staff Writer,Refinery29,"58,500",cis white woman,6,New York,Write both shortform & longform pieces,
486,Editorial Director,Refinery29,"$190,000 ",F/W,,New York,,
530,visuals editor,small non-profit publication,60000,cis woc,6,New York,"edit photo essays, short documentary videos, some writing and program management,",
578,Freelance Opinion Columnist,The Guardian,"$50,000 ",Cis White Lesbian,6,New York,"Write one 800-1000 word column per week, pegged to the news cycle.",$45000 as an assistant literary editor
590,Reporter,The New Food Economy,65000,Cis-het WOC,3.5,New York,News and feature reporting,$42K social media manager at The Stranger
592,News Assistant,The New York Times,"60,000",White female,2,New York,,
630,Writer,TheSkimm,"$72,000 ",Cis POC Female,2,New York,"Writing, editing, fact-checking",Assistant Editor
637,Digital managing editor,Too small to be named outright without being indentified,"72,000",Cis white male,9,New York,overseeing digital and social teams,
656,Global Media Manager,Universal McCann,"85,000",Female/ Black,5,New York,"Account Management, Media Planning",
675,Social Manager,VICE,"$76,000 ",Cis White Female,4,New York,"Planning/executing/reporting on paid social media campaigns
Managing social media marketing budget
Some social analytics
Some copywriting","Social Strategist - $275/day (contract)
Coordinator - $42k/year (contract)
Marketing Specialist - $40k/year (salaried, PDX)"
382,FACT-CHECKER,NEW YORK/VOX,"42,000",CIS WOMAN,1,NEW YORK,,
693,Reporter,Vox.com,"$85,000 ",cis white female,5,New York,"mostly writing, long features and quick hits",
696,National Correspondent,Wall Street Journal,"79,000","male, black",3,new york,writer and photographer covering breaking news and enterprise stories for the U.S. news team at the Journal,this is my first full time job after college. I previously completed fellowships at a number of national media outlets while in school
710,Associate editor,Wine Spectator,"$60,000 ",Cis female / White,6,New York,Writing and editing,
742,Associate Video Producer,,"$46,000 ",White Cis Male,3.5,New York,"Produce, shoot, livestream, edit, post, and write copy for all videos on website",Discovery Channel: Digital Associate Producer - $18/hr
21,Digital editor,amNewYork,"$56,000 ",Woman/white,8,New York City,"Report, write, edit, run website, schedule all social, posts and curate and send the daily newsletter","$54,000/things to do manager and $50,000 reporter"
71,News Curation Editor,BuzzFeed News,"$72,000 ",Cis White Man,6,New York City,"Running social channels, working with desks to prep copy for stories, broader social strategy.","- Web producer at local tv station in Buffalo, NY: $24,000 (+ overtime)
- Web producer at local tv station in Washington, DC: $45,000 (no overtime)
- Social media editor a digital brand backed by large news corporation: $65,000
- Starting salary at BF: $68,000"
88,News Associate,CNBC,"$24/hr + overtime, about $50,000 annually",POC cis female,1,New York City,early graduate rotational program,
101,News Assistant,CNN,$18.75 ,Non-binary/white,2,New York City,Newsgathering and producing,
752,News Assistant,CNN,$18.75 ,Non-binary/white,2,New York City,Newsgathering and producing,
94,Desk assistant,CNN,"$50,000 ",Cis white male,7,New York City,"-report out and write digital stories
-occasional field producing","Staff Reporter, Local Newspaper (unionized) $41,700"
135,Producer,Condé Nast,"78,000","Female, CIS, South Asian",2.5,New York City,Video Producer,"Digital Producer, Associate Producer"
128,Senior Editor,Conde Nast,"$90,000 ",Cis white female,5,New York City,"Editing, assigning, managing full-time and freelance writers",
751,Senior Editor,Conde Nast,"$90,000 ",Cis white female,5,New York City,"Editing, assigning, managing full-time and freelance writers",
170,Marketing Coordinator,Foreign Affairs,"49,000",Cis-Female-Caucasian,3,New York City,Create and execute customer subscription campaigns,Customer Experience Specialist at 65K/yr
172,Associate Editor,Future,"58,500",Nonbinary/White,5,New York City,"Editing, writing, e-commerce, social media",
234,Assistant Editor,Hearst,$25/hour,CIS White Female,4,New York City,"- writing new web content daily (celeb/entertainment news & SEO search stories)
- updating old content","data journalist $42,000
local news reporter $33,000"
242,Digital Editor,Hearst,85000,cis Male/mixed,5,New York City,"Run website, manage social posting, responsible for growth",
249,Assistant Snapchat Editor,Hearst (Cosmopolitan),"$58,500 ",cis het white female,3,New York City,"Curate and publish the Cosmo Stories snapchat edition, plan the editorial content for our daily Cosmopolitan Snapchat Discover edition, pitch and write for the print magazine's YOU section, edit video posts for the site, co-manage the editorial fellow, write up weekly and monthly reports for snapchat, act as a snapchat liason between the Cosmo US team and the Cosmo UK team, pitch and write stories for Cosmo's Snapchat channels, strategize editorial direction for snapchat channels, assist the Snapchat Editor for miscellaneous duties",Editorial Fellow
251,News Writer,Hearst (Cosmopolitan),"58,500",Woman/POC,3,New York City,print and digital news,"editorial assistant, writer, master's degree"
257,Deputy Editor,Hearst Magazines,"85,000",White cis male,5,New York City,"Pitching, writing, and editing for digital; content strategy and audience development; print-to-digital integration",
259,Assistant Fashion Editor,Hearst-Cosmopolitan,"58,500",cis female POC,3,New York City,"SEO posts, writing print pages, market research, photo research, writing news stories, reporting, writing headlines and deks, editing","Freelance Accessories Assistant (W mag), Moda Operandi (Production Assistant $18.27/hour)"
261,Social Media Editor,"Hearst, Cosmopolitan","$58,500 ",Cis white female,3,New York City,"I manage facebook, twitter, flipboard, and apple news platforms, assist with YouTube strategy, Instagram (but I build all of the Instagram Stories), I'm responsible for bringing in social traffic, making reports, working cross-functionally with design, video, edit, branded content, and a centralized analytics / strategy team.","Assistant Social Media Editor, $46,000 (in Boston)"
306,General Assignment Reporter,Law360,"$64,668 ",cis black woman,3,New York City,"reporting and writing multiple stories daily on litigation, regulation, public policy and other legal news",
361,Producer,NBC News,"94,500k",Asian American Cis Woman,4,New York City,Oversee editorial calendar and all production/shooting/editing/graphics for a vertical,Senior Producer for national magazine @ 75K / Associate Producer at national magazine @ 55K
362,Video Producer/Editor,NBC Owned Television Stations Group,"78,000",cis white male,10,New York City,Editing and posting web videos to websites and social media,
377,senior editor,New York Times,"$128,000 base + bonuses (~$10,000)",cis biracial man,7,New York City,"edit, assign articles for web, putting together print packages","hired as senior editor at $107,000 in 2017"
395,Senior Reporter,Nonprofit outlet,"$47,500 ",cis het Male/POC,8,New York City,"reporting, writing, some editing","Starting salary $25,000/staff reporter"
422,Janitor,NTY,"$19,000 ",Hispanic,15,New York City,Cleaning,
529,Assistant Editor,small non-profit newsroom,"45,000",Cis Male PoC,2,New York City,"research, fact-checking, editing",
562,Reporter,The Associated Press,"87,500",Cis-male,10,New York City,"Reporting deep enterprise stories, including some breaking news",
594,Assistant Video Editor,The New York Times,"$57,980 ","Female, Hispanic",4,New York City,"Video editing, publishing, producing, field producing, writing, associate producing etc.","associate producer, production associate, etc."
609,Reporter,The Wall Street Journal,"$80,000 ",white cis heterosexual female,9,New York City,beat reporting,"Reporter, $57,000"
635,Reporter,TIME,"45,500",White cis female,1.5,New York City,"Reporting for Newsfeed vertical on entertainment, viral news, culture, etc. -- Still assisting News team with previous responsibilities as producer",8 months as Producer on News Desk (35K-ish + overtime)
632,Associate Video Producer,TIME,"$53,000 ",WOC,3,New York City,"Produce breaking news videos; Pitch, report on and produce longer feature video stories",
